"","text"
"1248","love    command access  news   bloomberg tv npr etchighly recommend   gain access  alexa app  setting  device   familiar  key featuresservicessuch  setting   daily commuteif family  friends  spotthen    substitute  skype   timeyou   drop   missing loved ones    catch "
"1249"," size screen    range  voice commands sometimes  picks  weird commands  im watching tv   product   price   dont     screen"
"1250","    addition    space       date  events  weather conditions"
"1251","     owned started   dot   added  spot   love iy"
"1252"," love   coolest   sliced bread"
"1253"," product   complete waste  money    alexa  question   doesnt   answer    wrong answer   information   wikipedia"
"1254","honestly      echo dots   own    occasionally seeing  lyrics   song im listening    dont   difference"
"1255","     husband  prime day  loves    alarm clock  smart device    rd echo device      connected throughout  house    deactivate  camera   chose  cover    device    bedroom im  comfortable    camera      dont bring  cell phones   "
"1256"," product   dont tell      allow   drop      drop  anytime     sleeping    yelling    "
"1257","      computer       move     deck    watching video        added sound  dont    echo dot   perfect   location     add  house music     arrived  nervana"
"1258","surprisingly handy wish    options geared towards     nigh stand    dimmer setting"
"1259","   beta list  alexa     original alexa  echos   actually        "
"1260","love "
"1261","  contacted  people  india   suppose  charge      hard  understand  instructions    control   computer  network   bought  cloud cam           alexa"
"1262","   dot  echo plus   cant    hear      doesnt      expected"
"1263","bought    son   birthday    loves      jamming  music         loves  options   alarms     weekday alarms set  repeat     sleep   nonschool days"
"1264"," product"
"1265"," love  echo spot"
"1266","excellent purchase"
"1267","   little gadget   house     delivers period  "
"1268"," switched  google  amazon helper    shopping  google   tasks assistant"
"1269"," favorite echo    adequate replacement   clock radio"
"1270"," echo spot  compact nice sound  camera quality makes    video chat   family  im travelling   ease            talking  mama   video chat  understands    digital security"
"1271"," echo spot    love "
"1272"," voice recognition  amazing perfect companion   bedroom"
"1273"," liked  perfect size  screen      elegant"
"1274"," am  easily impressed  electronic goodies butomg      coolest          short  clean  house     alexa  clean  house  told  didnt  hands  instead played  fantastic playlist  cleaning   reading books   five    video chat  silly selfies music  automatically goes   bose bluetooth speaker setting timers alarms changing  thermostat  voice command tells   weather sends hubby  grocery pick  list   am  million  thingsbuy ityou    regret "
"1275"," product  beautifully designed       hide  echo device      dot    nice  amazon  lose  camera         cause squirms   privacy conscious"
"1276",NA
"1277","love  little dot   screen  super easy  set   easy    instantly connected     echo products    bought  screen cover    blocking button   camera        recommended"
"1278","alexa    smart  siri  cancel snooze  alarm goes    cancel preset alarm  weekdays"
"1279"," product except         act   clock  displays  time permanently    clock mode  screen rotates   clock      try screen   intended  buying  units   house       screen   house   permanently trying  upset   acting  clock    basic feature   echo spot       wrong amazon  fail"
"1280","       bedside clock   ability  play music  podcasts sadly  continuously scrolls     try   wont stay   clock  amazon       "
"1281","hands free calling   house  misplace  cell phone   time     real blessing  enjoying  streaming music"
"1282","  elderly parentseasy    usejust instructions    informative"
"1283","    fantastic alarm clock"
"1284"," love using   bedtime reading  audible   kidfriendly     liking    kitchen  im cooking     unobtrusive       echo dot"
"1285"," nice gadget love  look"
"1286"," happy   spot  reset numerous times      slow mode     practically  top      hear     talking  support      themes   menu  choose "
"1287","husband loves "
"1288","love "
"1289","love  spot  awesome little guy  precise video  im saving  buy    mom   east coast   spot changes     keeping  loved ones connectedwell worth  cent"
"1290","  fine   spot exact   massive failing        repeating alarm   morning  pretty    talk        usually      woken    bed partner  definitely    yes   manually swipe    alarm   dismiss   swiping    touching screen    half asleep   difficult  results  setting snooze   half  time     try  swipe  dismiss  ii    manage  swipe   dismiss   completely delete  recurring alarmthis  especially annoying  amazon   easily fix   simply  touching  screen    alarm   delete        setting  decide  touching  screen   recurring alarm snoozes         clock           havent adding  setting     happen      biggest product design screw  amazon   "
"1291","excellent"
"1292","item returned  repair receivded item   repair    missing  power cord includedplease advise"
"1293","awesome item     buy "
"1294","  awesome   echo  echo dots   spot   disappointment    little control    screen    clock looks        etc      hadnt thrown  box  immediately    sent        size echo"
"1295","  replaced  clock  google mini   nightstand  outstanding little device   hope  update    simple   font color options   clock"
"1296"," love  echo spot"
"1297","  ting      plus         mom      playing  "
"1298","  fascinating  ive  bought"
"1299","sound quality     dot microphones dont pick        models   echo  dots  picture quality  "
"1300","awesome cute  smart"
"1301","product forces user  review alexa   try      disable "
"1302","absolutely love    persuasion   friend  finally    bought       moment alexa enters  life     tell siri    hell "
"1303"," love love love "
"1304",""
"1305","    alexa device     fun  discover         biggest con     dropin feature  pretty creepy"
"1306","    sliced bread"
"1307","cant     baby monitor      purchased    didnt realize    read  reviews   alexa skill  syncing  nest cam  considering    poor reviews        simple  fix surprised amazon hasnt upgraded  software  allow    minutes  viewing  alerts      nest app"
